	symbol	date	content	sentiment_score
0	RACA_General	2021-10-01	prize	0.10235809
1	RACA_General	2021-10-01	nice	0.11208581
2	RACA_General	2021-10-01	prize	0.10235809
3	RACA_General	2021-10-01	nan	0.122046724
4	RACA_General	2021-10-01	bought metamon find nft	0.02116822
5	RACA_General	2021-10-01	market place adding contract wallet manually	0.25274006
6	RACA_General	2021-10-01	find contract	0.029979486
7	RACA_General	2021-10-01	0xbe96ee936c45b4cc8c65b803c851d1d4ed15a27b	0.03633642
8	RACA_General	2021-10-01	next good project good project going forward . hopefully new hope provide good progress.	0.8671312
9	RACA_General	2021-10-01	good project strong team predictable transparent road map planned projected . think near future see unprecedented growth project.	0.7894261
10	RACA_General	2021-10-01	hello	0.120168634
11	RACA_General	2021-10-01	hi	0.118496716
12	RACA_General	2021-10-01	yess	0.23432773
13	RACA_General	2021-10-01	great project	0.1868638
14	RACA_General	2021-10-01	get testnet metamon	0.02066959
15	RACA_General	2021-10-01	hi	0.118496716
16	RACA_General	2021-10-01	raca moon	0.06910671
17	RACA_General	2021-10-01	hello guys	0.103493065
18	RACA_General	2021-10-01	biggest bsc project	0.055787954
19	RACA_General	2021-10-01	project good whitepaper also clear hope project successful successful future also hope community grow even bigger	0.87251943
20	RACA_General	2021-10-01	verify	0.09694585
21	RACA_General	2021-10-01	hello	0.120168634
22	RACA_General	2021-10-01	testnet guys	0.020241916
23	RACA_General	2021-10-01	moon	0.09017944
24	RACA_General	2021-10-01		
25	RACA_General	2021-10-01		
26	RACA_General	2021-10-01	pump	0.08252615
27	RACA_General	2021-10-01	pump	0.08252615
28	RACA_General	2021-10-01	moon raca	0.09134407
29	RACA_General	2021-10-01	wow	0.12260081
30	RACA_General	2021-10-01		
31	RACA_General	2021-10-01		
32	RACA_General	2021-10-01		
33	RACA_General	2021-10-01	hi question buying metamon . bought metamon around 2 hours ago could locate anywhere website . miss anything	-0.07172232
34	RACA_General	2021-10-01	dyno wont help bot already check bsc scan see sure received known issue metamons dont always immediatly show fixed 6th october	0.011415557
35	RACA_General	2021-10-01	thanks opps pay attention bot thing . thanks lot . shall wait	0.2612215
36	RACA_General	2021-10-01	hellooo	0.09213215
37	RACA_General	2021-10-01	hi everyone	0.13372648
38	RACA_General	2021-10-01	ciao	0.025982324
39	RACA_General	2021-10-01	raca pumping	0.05603449
40	RACA_General	2021-10-01	hi	0.118496716
41	RACA_General	2021-10-01	pumping	0.1380363
42	RACA_General	2021-10-01	hello	0.120168634
43	RACA_General	2021-10-01	raca go moon	0.13858114
44	RACA_General	2021-10-01		
45	RACA_General	2021-10-01	raca moon	0.06910671
46	RACA_General	2021-10-01	hello	0.120168634
47	RACA_General	2021-10-01	hi	0.118496716
48	RACA_General	2021-10-01	hi guys	0.117215976
49	RACA_General	2021-10-01	hi	0.118496716
